dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace5.csv,0.1,False,additive,10.0,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,multiplicative,0.01,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,multiplicative,0.1,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,multiplicative,1.0,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,multiplicative,10.0,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.5,True,additive,0.01,61.5590973044399,49.59739303588867,-0.2487781047821045
trace5.csv,0.5,True,additive,0.1,61.106736151794266,49.134761810302734,-0.2304924726486206
trace5.csv,0.5,True,additive,1.0,61.01265197622437,49.03170394897461,-0.22670626640319824
trace5.csv,0.5,True,additive,10.0,60.99738643863153,49.02043533325195,-0.22609257698059082
trace5.csv,0.5,True,multiplicative,0.01,65.59720021297593,53.18898391723633,-0.4179842472076416
trace5.csv,0.5,True,multiplicative,0.1,58.50001252003071,47.3395881652832,-0.12774968147277832
trace5.csv,0.5,True,multiplicative,1.0,58.40856360786811,47.29273986816406,-0.12422657012939453
trace5.csv,0.5,True,multiplicative,10.0,58.431544231931134,47.20774459838867,-0.12511134147644043
trace5.csv,0.5,False,additive,0.01,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,additive,0.1,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,additive,1.0,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,additive,10.0,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,multiplicative,0.01,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,multiplicative,0.1,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,multiplicative,1.0,153.37780152290617,142.5730743408203,-6.7522149085998535
trace5.csv,0.5,False,multiplicative,10.0,153.37780152290617,142.5730743408203,-6.7522149085998535
trace10.csv,0.001,True,additive,0.01,135.21379916404612,111.91304016113281,0.3812643885612488
trace10.csv,0.001,True,additive,0.1,130.9911659115797,107.51303100585938,0.41930633783340454
trace10.csv,0.001,True,additive,1.0,132.20027272806587,108.4227066040039,0.40853673219680786
trace10.csv,0.001,True,additive,10.0,131.87067528453775,108.53971862792969,0.4114822745323181
trace10.csv,0.001,True,multiplicative,0.01,214.16283232624656,187.3068389892578,-0.5522129535675049
trace10.csv,0.001,True,multiplicative,0.1,146.99994021044702,122.62789916992188,0.2686969041824341
trace10.csv,0.001,True,multiplicative,1.0,144.82365354112565,118.43170166015625,0.29019004106521606
trace10.csv,0.001,True,multiplicative,10.0,142.97589121509262,118.11688232421875,0.30818700790405273
trace10.csv,0.001,False,additive,0.01,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,additive,0.1,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,additive,1.0,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,additive,10.0,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,multiplicative,0.01,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,multiplicative,0.1,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,multiplicative,1.0,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.001,False,multiplicative,10.0,286.5457124308441,254.77847290039062,-1.778759241104126
trace10.csv,0.01,True,additive,0.01,203.03450868940973,173.34487915039062,-0.3950918912887573
